;EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
53;AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000004;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0.0;0.0;0.0;0.0;0.0;768645.0;752463.0;121365.0;83836.0;0.0;2697.0;1.0;15658800.0;0.0;455793.0;285.0;45000.0;5.333;0.0
55;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;35.0;0.0;0.0;0.0;0.0;4455.0;3465.0;520.0;257.0;580.0;495.0;5.0;0.0;0.0;0.0;45.0;5275.0;2.334;0.0
56;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;42.0;0.0;0.0;0.0;0.0;5805.0;5418.0;680.0;405.0;580.0;645.0;5.0;0.0;0.0;0.0;45.0;5275.0;2.933;0.0
57;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;453.0;5.0;0.0;0.0;0.0;68724.0;37599.0;8372.0;2782.0;6808.0;7636.0;92.0;0.0;0.0;0.0;828.0;101200.0;35.801;0.0
58;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;44.0;0.0;0.0;0.0;0.0;5346.0;4356.0;624.0;322.0;696.0;594.0;6.0;0.0;0.0;0.0;54.0;6330.0;3.017;0.0
59;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;28.0;0.0;0.0;0.0;0.0;1368.0;1064.0;156.0;77.0;228.0;152.0;4.0;0.0;0.0;0.0;36.0;4180.0;0.6;0.0
60;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;26.0;0.0;0.0;0.0;0.0;4644.0;3354.0;544.0;250.0;464.0;516.0;4.0;0.0;0.0;0.0;36.0;4220.0;2.6;0.0
61;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;38.0;0.0;0.0;0.0;0.0;1710.0;1444.0;195.0;105.0;285.0;190.0;5.0;0.0;0.0;0.0;45.0;5225.0;1.233;0.0
62;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000001;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;689.0;0.0;0.0;0.0;0.0;68724.0;57187.0;8372.0;4256.0;6808.0;7636.0;92.0;0.0;0.0;0.0;828.0;101200.0;42.222;0.0
63;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SDLO;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;39.0;0.0;0.0;0.0;0.0;4455.0;3861.0;524.0;287.0;538.0;495.0;5.0;0.0;0.0;0.0;45.0;5320.0;2.384;0.0
64;ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;1970-01-01 00:00:00.000002025;1970-01-01 00:00:00.000000002;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;21.0;0.0;0.0;0.0;0.0;3483.0;2709.0;408.0;202.0;348.0;387.0;3.0;0.0;0.0;0.0;27.0;3165.0;1.733;0.0
