data_lancamento,nome_artistico,nome_artista,qtd_artistas,qtd_playlists_spotify,qtd_destaques_spotify,qtd_transmissoes,qtd_playlists_apple,qtd_destaques_apple,qtd_playlists_deezer,qtd_destques_deezer,qtd_destaues_shazam,batidas_por_minuto,modo,acustica_%,instrumentalidade_%
2023-07-14,SEVEN (FEAT. LATTO) (EXPLICIT VER.),"LATTO, JUNG KOOK",2,553,147,141381703.0,43,263,45.0,10,826.0,125,MAJOR,31,0
2023-03-23,LALA,MYKE TOWERS,1,1474,48,133716286.0,48,126,58.0,14,382.0,92,MAJOR,7,0
2023-06-30,VAMPIRE,OLIVIA RODRIGO,1,1397,113,140003974.0,94,207,91.0,14,949.0,138,MAJOR,17,0
2019-08-23,CRUEL SUMMER,TAYLOR SWIFT,1,7858,100,800840817.0,116,207,125.0,12,548.0,170,MAJOR,11,0
2023-05-18,WHERE SHE GOES,BAD BUNNY,1,3133,50,303236322.0,84,133,87.0,15,425.0,144,MINOR,14,63
2023-06-01,SPRINTER,"DAVE, CENTRAL CEE",2,2186,91,183706234.0,67,213,88.0,17,946.0,141,MAJOR,19,0
2023-03-16,ELLA BAILA SOLA,"ESLABON ARMADO, PESO PLUMA",2,3090,50,725980112.0,34,222,43.0,13,418.0,148,MINOR,48,0
2023-07-07,COLUMBIA,QUEVEDO,1,714,43,58149378.0,25,89,30.0,13,194.0,100,MAJOR,37,0
2023-05-15,FUKUMEAN,GUNNA,1,1096,83,95217315.0,60,210,48.0,11,953.0,130,MINOR,12,0
2023-03-17,LA BEBE - REMIX,"PESO PLUMA, YNG LVCAS",2,2953,44,553634067.0,49,110,66.0,13,339.0,170,MINOR,21,0
2023-04-17,UN X100TO,"BAD BUNNY, GRUPO FRONTERA",2,2876,40,505671438.0,41,205,54.0,12,251.0,83,MINOR,23,0
2023-07-07,SUPER SHY,NEWJEANS,1,422,55,58255150.0,37,202,21.0,5,168.0,150,MINOR,18,0
2023-01-12,FLOWERS,MILEY CYRUS,1,12211,115,1316855716.0,300,215,745.0,58,1.021,118,MAJOR,6,0
2023-04-14,DAYLIGHT,DAVID KUSHNER,1,3528,98,387570742.0,80,156,182.0,24,1.281,130,MINOR,83,0
2022-03-31,AS IT WAS,HARRY STYLES,1,23575,130,2513188493.0,403,198,863.0,46,0.0,174,MINOR,34,0
2022-12-08,KILL BILL,SZA,1,8109,77,1163093654.0,183,162,161.0,12,187.0,89,MAJOR,5,17
2023-02-24,CUPID - TWIN VER.,FIFTY FIFTY,1,2942,77,496795686.0,91,212,78.0,6,0.0,120,MINOR,43,0
2023-07-13,"WHAT WAS I MADE FOR? [FROM THE MOTION PICTURE ""BARBIE""]",BILLIE EILISH,1,873,104,30546883.0,80,227,95.0,24,1.173,78,MAJOR,96,0
2023-03-31,CLASSY 101,"FEID, YOUNG MIKO",2,2610,40,335222234.0,43,100,54.0,14,187.0,100,MAJOR,14,0
2023-03-24,LIKE CRAZY,JIMIN,1,596,68,363369738.0,8,104,23.0,2,29.0,120,MAJOR,0,0
2023-06-22,LADY GAGA,"GABITO BALLESTEROS, JUNIOR H, PESO PLUMA",3,332,26,86444842.0,11,163,10.0,4,0.0,140,MINOR,22,0
2023-07-07,I CAN SEE YOU (TAYLORÏ¿½Ï¿½Ï¿½S VERSION) (FROM THE,TAYLOR SWIFT,1,516,38,52135248.0,73,119,42.0,1,150.0,123,MAJOR,6,0
2013-01-01,I WANNA BE YOURS,ARCTIC MONKEYS,1,12859,110,1297026226.0,24,98,582.0,2,73.0,135,MINOR,12,2
2023-05-31,"PESO PLUMA: BZRP MUSIC SESSIONS, VOL. 55","BIZARRAP, PESO PLUMA",2,1313,40,200647221.0,17,152,32.0,11,139.0,133,MINOR,26,0
2023-06-02,POPULAR (WITH PLAYBOI CARTI & MADONNA) - THE IDOL VOL. 1 (MUSIC FROM THE HBO ORIGINAL SERIES),"THE WEEKND, MADONNA, PLAYBOI CARTI",3,1945,87,115364561.0,74,182,87.0,14,1.093,99,MAJOR,7,0
2023-06-22,SABOR FRESA,FUERZA REGIDA,1,250,26,78300654.0,16,149,10.0,5,168.0,130,MINOR,9,0
2022-03-25,CALM DOWN (WITH SELENA GOMEZ),"RÏ¿½Ï¿½MA, SELENA G",2,7112,77,899183384.0,202,119,318.0,38,96.0,107,MAJOR,43,0
2023-06-29,MOJABI GHOST,"TAINY, BAD BUNNY",2,859,40,61245289.0,35,109,41.0,14,211.0,122,MINOR,14,0
2023-01-31,LAST NIGHT,MORGAN WALLEN,1,2420,19,429829812.0,52,107,15.0,1,325.0,204,MAJOR,46,0
2023-05-25,DANCE THE NIGHT (FROM BARBIE THE ALBUM),DUA LIPA,1,2988,101,127408954.0,0,0,143.0,38,0.0,110,MINOR,2,0
2023-07-13,RUSH,TROYE SIVAN,1,864,78,22581161.0,71,135,50.0,1,294.0,126,MINOR,0,0
2023-06-28,TULUM,"PESO PLUMA, GRUPO FRONTERA",2,266,34,52294266.0,20,185,13.0,8,197.0,168,MAJOR,39,0
2022-12-02,CREEPIN',"THE WEEKND, 21 SAVAGE, METRO BOOMIN",3,6036,88,843957510.0,113,149,245.0,23,27.0,98,MINOR,36,0
2022-10-21,ANTI-HERO,TAYLOR SWIFT,1,9082,56,999748277.0,242,142,165.0,9,310.0,97,MAJOR,12,0
2023-02-23,TQG,"KAROL G, SHAKIRA",2,4284,49,618990393.0,115,123,184.0,18,354.0,180,MINOR,67,0
2023-06-01,LOS DEL ESPACIO,"BIG ONE, DUKI, LIT KILLAH, MARIA BECERRA, FMK, RUSHERKING, EMILIA, TIAGO PZK",8,1150,31,123122413.0,22,33,34.0,7,184.0,120,MAJOR,11,0
2023-04-07,FRÏ¿½Ï¿½GIL (FEAT. GRUPO FRONT,"YAHRITZA Y SU ESENCIA, GRUPO FRONTERA",2,672,34,188933502.0,19,108,24.0,9,212.0,150,MAJOR,37,0
2014-01-01,BLANK SPACE,TAYLOR SWIFT,1,11434,53,1355959075.0,154,123,410.0,2,81.0,96,MAJOR,9,0
2014-01-01,STYLE,TAYLOR SWIFT,1,7830,42,786181836.0,94,111,151.0,4,82.0,95,MAJOR,0,0
2023-05-19,TQM,FUERZA REGIDA,1,584,28,176553476.0,16,159,15.0,6,100.0,125,MINOR,27,0
2023-02-10,EL AZUL,"JUNIOR H, PESO PLUMA",2,692,25,354495408.0,10,107,6.0,3,62.0,144,MINOR,23,0
2018-10-09,SUNFLOWER - SPIDER-MAN: INTO THE SPIDER-VERSE,"POST MALONE, SWAE LEE",2,24094,78,2808096550.0,372,117,843.0,4,69.0,90,MAJOR,54,0
2022-08-26,I'M GOOD (BLUE),"BEBE REXHA, DAVID GUETTA",2,12482,80,1109433169.0,291,184,537.0,45,727.0,128,MINOR,4,0
2017-07-21,SEE YOU AGAIN,"TYLER, THE CREATOR, KALI UCHIS",3,13387,64,1047101291.0,77,58,247.0,1,311.0,79,MAJOR,37,0
2023-06-23,BARBIE WORLD (WITH AQUA) [FROM BARBIE THE ALBUM],"NICKI MINAJ, AQUA, ICE SPICE",3,1117,80,65156199.0,82,145,65.0,16,1.133,144,MAJOR,52,0
2020-11-27,ANGELS LIKE YOU,MILEY CYRUS,1,3372,19,570515054.0,65,48,138.0,1,102.0,122,MAJOR,10,0
2022-05-13,I AIN'T WORRIED,ONEREPUBLIC,1,8431,76,1085685420.0,241,127,458.0,37,332.0,140,MAJOR,11,0
2016-11-24,DIE FOR YOU,THE WEEKND,1,2483,59,1647990401.0,68,21,24.0,0,259.0,134,MINOR,9,0
2016-09-21,STARBOY,"THE WEEKND, DAFT PUNK",2,29536,79,2565529693.0,281,137,2.445,1,140.0,186,MAJOR,16,0
2023-02-24,DIE FOR YOU - REMIX,"ARIANA GRANDE, THE WEEKND",2,3408,47,518745108.0,87,86,74.0,1,16.0,67,MINOR,23,0
2023-06-02,EL CIELO,"FEID, MYKE TOWERS, SKY ROMPIENDO",3,1298,38,107753850.0,44,64,57.0,10,110.0,106,MINOR,7,0
2023-04-06,BABY DON'T HURT ME,"DAVID GUETTA, ANNE-MARIE, COI LERAY",3,4277,66,177740666.0,145,111,213.0,11,810.0,128,MAJOR,0,0
2023-02-24,AMARGURA,KAROL G,1,1133,39,153372011.0,14,71,23.0,10,176.0,107,MINOR,18,0
2023-06-15,(IT GOES LIKE) NANANA - EDIT,PEGGY GOU,1,2259,59,57876440.0,0,0,109.0,17,0.0,130,MINOR,12,19
2012-10-15,ANOTHER LOVE,TOM ODELL,1,18371,83,1813673666.0,250,122,3.394,19,0.0,123,MINOR,70,0
2019-11-29,BLINDING LIGHTS,THE WEEKND,1,43899,69,3703895074.0,672,199,3.421,20,0.0,171,MAJOR,0,0
2023-02-24,MOONLIGHT,KALI UCHIS,1,2649,42,256483385.0,67,79,57.0,1,615.0,137,MINOR,51,0
2022-05-26,LA BACHATA,MANUEL TURIZO,1,6804,45,1214083358.0,139,111,161.0,15,210.0,125,MINOR,58,0
2023-07-14,S91,KAROL G,1,525,41,16011326.0,34,115,39.0,6,216.0,128,MINOR,59,0
2020-07-24,CARDIGAN,TAYLOR SWIFT,1,7923,29,812019557.0,106,112,142.0,4,215.0,130,MINOR,55,0
2023-05-04,TÏ¿½Ï¿,"DENNIS, MC KEVIN O CHRIS",2,731,15,111947664.0,27,17,73.0,4,167.0,130,MAJOR,50,1
2023-02-03,BOY'S A LIAR PT. 2,"PINKPANTHERESS, ICE SPICE",2,5184,41,156338624.0,154,84,102.0,14,37.0,133,MAJOR,25,0
2022-06-24,LEFT AND RIGHT (FEAT. JUNG KOOK OF BTS),"CHARLIE PUTH, BTS, JUNG KOOK",3,3107,39,720434240.0,38,0,4.0,0,0.0,101,MAJOR,62,0
2023-03-24,BESO,"RAUW ALEJANDRO, ROSALÏ¿½",2,4053,50,357925728.0,82,121,182.0,12,171.0,95,MINOR,74,0
2022-10-06,HEY MOR,"OZUNA, FEID",2,4637,38,674072710.0,63,79,89.0,11,16.0,98,MINOR,0,0
1999-01-01,YELLOW,CHRIS MOLITOR,1,31358,43,1755214421.0,196,2,4.053,5,0.0,173,MAJOR,0,0
2022-10-21,KARMA,TAYLOR SWIFT,1,3818,23,404562836.0,37,55,32.0,0,272.0,90,MAJOR,7,0
2022-12-02,PEOPLE,LIBIANCA,1,3506,56,373199958.0,105,64,169.0,8,529.0,198,MINOR,55,0
2023-07-14,OVERDRIVE,POST MALONE,1,410,36,14780425.0,36,32,31.0,1,26.0,140,MAJOR,0,0
2023-07-07,ENCHANTED (TAYLOR'S VERSION),TAYLOR SWIFT,1,148,24,39578178.0,32,93,8.0,2,5.0,82,MAJOR,1,0
2023-06-23,BABY HELLO,"RAUW ALEJANDRO, BIZARRAP",2,1004,35,54266102.0,42,80,58.0,3,169.0,130,MINOR,17,0
2020-06-28,HEAT WAVES,GLASS ANIMALS,1,22543,63,2557975762.0,386,144,707.0,28,0.0,81,MAJOR,44,0
2022-07-15,GOLDEN HOUR,JVKE,1,4511,36,751134527.0,70,58,109.0,18,230.0,94,MINOR,65,18
2012-05-14,SWEATER WEATHER,THE NEIGHBOURHOOD,1,16413,61,2282771485.0,166,87,1.056,1,0.0,124,MAJOR,5,2
2022-07-06,"QUEVEDO: BZRP MUSIC SESSIONS, VOL. 52","BIZARRAP, QUEVEDO",2,8506,45,1356565093.0,94,65,164.0,14,176.0,128,MAJOR,1,3
2008-01-01,VIVA LA VIDA,COLDPLAY,1,33898,62,1592909789.0,233,0,4.095,9,0.0,138,MINOR,9,0
2022-07-17,HERE WITH ME,D4VD,1,3246,23,635412045.0,94,85,68.0,1,84.0,132,MAJOR,50,0
2022-09-22,UNHOLY (FEAT. KIM PETRAS),"SAM SMITH, KIM PETRAS",2,8576,42,1230675890.0,216,108,331.0,26,154.0,131,MAJOR,1,0
2022-12-20,YANDEL 150,"YANDEL, FEID",2,3618,38,585695368.0,47,74,80.0,14,194.0,168,MINOR,5,0
2023-06-22,CORAZÏ¿½Ï¿½N VA,MARIA BECERRA,1,370,20,43857627.0,12,16,18.0,4,93.0,98,MAJOR,33,0
1975-01-01,RIPTIDE,VANCE JOY,1,31123,55,2009094673.0,300,65,1.003,1,0.0,102,MAJOR,43,0
2022-04-22,UNTIL I FOUND YOU (WITH EM BEIHOLD) - EM BEIHOLD VERSION,"EM BEIHOLD, STEPHEN SANCHEZ",2,2790,30,600976848.0,60,96,71.0,0,115.0,101,MAJOR,78,0
2023-06-23,NOVIDADE NA Ï¿½Ï¿,"MC LIVINHO, DJ MATT D",2,267,9,39709092.0,9,6,25.0,2,72.0,130,MAJOR,76,0
2023-07-07,BACK TO DECEMBER (TAYLOR'S VERSION),TAYLOR SWIFT,1,139,17,39228929.0,16,72,5.0,0,8.0,142,MAJOR,1,0
2021-07-09,STAY (WITH JUSTIN BIEBER),"JUSTIN BIEBER, THE KID LAROI",2,17050,36,2665343922.0,492,99,798.0,31,0.0,170,MAJOR,4,0
2023-03-03,EL MERENGUE,"MARSHMELLO, MANUEL TURIZO",2,2114,44,223633238.0,80,75,110.0,11,323.0,124,MINOR,3,1
2018-11-08,SOMEONE YOU LOVED,LEWIS CAPALDI,1,17836,53,2887241814.0,440,125,1.8,0,0.0,110,MAJOR,75,0
2022-05-06,ME PORTO BONITO,"CHENCHO CORLEONE, BAD BUNNY",2,8870,43,1440757818.0,104,120,141.0,26,49.0,92,MINOR,9,0
2015-06-22,MAKEBA,JAIN,1,6060,53,165484133.0,150,148,2.703,22,1.451,116,MAJOR,39,51
2012-06-20,MONTAGEM - FR PUNK,"AYPARIA, UNXBECTED",2,641,50,58054811.0,1,52,8.0,0,1.17,129,MAJOR,70,8
2023-03-24,FAST CAR,LUKE COMBS,1,1446,12,157058870.0,57,97,35.0,0,429.0,98,MAJOR,19,0
2023-03-17,WHAT IT IS (SOLO VERSION),DOECHII,1,804,25,95131998.0,29,76,24.0,0,162.0,172,MINOR,6,0
2023-03-17,COCO CHANEL,"BAD BUNNY, ELADIO CARRION",2,1962,38,250305248.0,28,89,29.0,5,82.0,150,MAJOR,4,0
2017-11-08,DONÏ¿½Ï¿½Ï¿½T BL,TAYLOR SWIFT,1,4875,23,685032533.0,19,45,0.0,0,10.0,136,MINOR,11,0
2020-06-05,STILL WITH YOU,JUNG KOOK,1,31,39,38411956.0,2,107,8.0,0,0.0,88,MINOR,9,0
2023-05-12,ALL MY LIFE (FEAT. J. COLE),"J. COLE, LIL DURK",2,2175,23,144565150.0,69,145,69.0,2,478.0,143,MAJOR,15,0
2023-03-17,SAY YES TO HEAVEN,LANA DEL REY,1,2000,46,127567540.0,49,105,63.0,1,0.0,100,MINOR,71,9
2022-12-09,SNOOZE,SZA,1,2839,25,399686758.0,58,156,42.0,1,236.0,143,MAJOR,14,0
2011-01-01,SUMMERTIME SADNESS,LANA DEL REY,1,20333,52,983637508.0,89,143,1.632,3,200.0,112,MINOR,7,0
2023-06-09,TAKE TWO,BTS,1,674,47,118482347.0,20,106,25.0,4,78.0,93,MAJOR,3,0
2012-01-01,LOVER,TAYLOR SWIFT,1,8448,23,882831184.0,160,110,163.0,0,5.0,206,MAJOR,50,0
2022-12-02,TOO MANY NIGHTS (FEAT. DON TOLIVER & WITH FUTURE),"FUTURE, METRO BOOMIN, DON TOLIVER",3,2110,58,286400165.0,17,119,19.0,2,266.0,88,MINOR,15,0
2023-04-14,CHEMICAL,POST MALONE,1,2528,39,172825906.0,56,91,59.0,3,486.0,170,MAJOR,0,0
2004-01-01,MOCKINGBIRD,EMINEM,1,12985,61,1241559043.0,49,98,2.394,5,204.0,84,MINOR,21,0
2023-07-07,NEW JEANS,NEWJEANS,1,77,35,29562220.0,8,166,4.0,4,34.0,134,MINOR,51,0
2022-04-20,PRIMERA CITA,CARIN LEON,1,266,27,77309611.0,6,40,6.0,6,202.0,158,MAJOR,61,0
2017-11-10,COLD HEART - PNAU REMIX,"DUA LIPA, ELTON JOHN, PNAU",3,21097,52,1605224506.0,384,135,1.034,37,312.0,116,MAJOR,4,0
2017-04-28,DANDELIONS,RUTH B.,1,3423,21,1116995633.0,41,100,59.0,1,32.0,117,MAJOR,2,0
2021-03-11,BONES,IMAGINE DRAGONS,1,4198,44,838079900.0,98,108,327.0,17,153.0,114,MINOR,2,0
2011-01-01,SET FIRE TO THE RAIN,ADELE,1,14739,43,1163620694.0,88,112,2.163,5,519.0,108,MINOR,0,0
2012-01-01,MONEY TREES,"KENDRICK LAMAR, JAY ROCK",2,26792,32,1093605526.0,69,113,695.0,0,458.0,144,MINOR,7,0
2022-12-02,TAK SEGAMPANG ITU,ANGGI MARITO,1,213,6,179659294.0,7,6,0.0,0,48.0,130,MAJOR,76,0
2023-06-22,LAGUNAS,"JASIEL NUÏ¿½Ï¿½EZ, PESO P",2,58,18,39058561.0,2,106,4.0,2,184.0,116,MAJOR,33,1
2023-07-07,MINE (TAYLOR'S VERSION),TAYLOR SWIFT,1,99,15,36912123.0,21,52,6.0,1,0.0,121,MAJOR,0,0
1985-02-17,EVERYBODY WANTS TO RULE THE WORLD,TEARS FOR FEARS,1,41751,25,1205951614.0,101,32,2.655,0,666.0,112,MAJOR,36,0
2014-12-09,NO ROLE MODELZ,J. COLE,1,21164,36,1791000570.0,80,65,476.0,0,14.0,100,MINOR,30,0
2023-02-25,TATTOO,LOREEN,1,2988,59,201660859.0,74,102,145.0,18,925.0,150,MINOR,24,0
2023-02-08,RARA VEZ,"TAIU, MILO J",2,893,38,248088961.0,19,23,24.0,3,88.0,120,MINOR,18,0
2023-05-12,VAGABUNDO,"SEBASTIAN YATRA, MANUEL TURIZO, BEÏ¿½Ï",3,1094,34,90839753.0,40,58,47.0,8,203.0,127,MINOR,4,0
2020-07-24,AUGUST,TAYLOR SWIFT,1,7324,22,607123776.0,25,81,61.0,1,44.0,90,MAJOR,53,0
2023-06-22,LUNA,"JUNIOR H, PESO PLUMA",2,201,11,55842345.0,19,117,8.0,1,74.0,128,MINOR,33,0
2023-03-10,MIRACLE (WITH ELLIE GOULDING),"CALVIN HARRIS, ELLIE GOULDING",2,5120,48,211050784.0,161,115,246.0,9,638.0,143,MAJOR,4,4
2022-07-15,NONSENSE,SABRINA CARPENTER,1,2346,27,342897938.0,69,12,38.0,8,64.0,139,MAJOR,3,0
2022-12-09,QUE VUELVAS,"CARIN LEON, GRUPO FRONTERA",2,763,26,2762.0,21,110,21.0,9,71.0,162,MAJOR,19,0
2021-06-11,POR LAS NOCHES,PESO PLUMA,1,457,24,330346424.0,8,116,4.0,3,2.0,92,MAJOR,31,0
2022-08-19,FELIZ CUMPLEAÏ¿½Ï¿½OS FE,FEID,1,3430,38,601863821.0,45,69,52.0,4,3.0,95,MAJOR,10,0
